WATER,TOWN,Y_coord,X_coord
SEBASTICOOK R (EAST BRANCH),Corinna,44.94978416109649,-69.27727968967416
KENDUSKEAG STREAM,Bangor,44.82274226874739,-68.8001890384144
ROCKY B,Lincoln,45.33202023240102,-68.4944875080889
STILLWATER R,Old Town,44.93479876014279,-68.69251672307452
STILLWATER R,Orono,44.89072070053106,-68.67550948121561
MATTAGODUS STREAM,Springfield,45.42363026380691,-68.12620998943352
SEBOEIS STREAM,Seboeis Plt,45.35442753920234,-68.71041092849724
CEDAR L,T3 R9 NWP,45.528554832469425,-68.80014545247073
ENDLESS L,T3 R9 NWP,45.47110737815044,-68.81339978260898
PASSADUMKEAG R,Lowell,45.15691405514176,-68.47798422303173
SILVER (MATTAKEUNK) L,Lee,45.35091842194667,-68.31529277552849
BREWER L,Orrington,44.714441159062076,-68.7322892563987
ETNA P,Etna,44.82907674358732,-69.10240235959103
MILO FARM (HARRIS) P,Milo,45.268214487174106,-68.99338498331788
PISCATAQUIS R,Guilford,45.17222301124471,-69.34800250301545
BLACK STREAM,Sangerville,45.15561798730709,-69.27510840926034
DUNHAM B,Dover-Foxcroft,45.190153761117855,-69.26305410900189
PISCATAQUIS R,Monson,45.23617094575099,-69.53119179690297
BEAR B,Sebec,45.27462618604373,-69.15092515299149
SEBEC R,Milo,45.26863111350234,-69.02281181794588
KINGSBURY P,Kingsbury Plt,45.10757787743356,-69.66977160291798
SCHOODIC STREAM,Medford,45.2964812762475,-68.85087912417742
CARRABASSETT STREAM,Canaan,44.73980471750245,-69.58191013626127
MILL STREAM,Embden,44.882503793257264,-69.9207785725733
HIGGINS B,Harmony,44.99540448034479,-69.56264286939296
HEALD STREAM,Jackman,45.66292251801782,-70.24191786562793
SANDY STREAM,Jackman,45.675243014013326,-70.30909243118018
SEBASTICOOK R,Hartland,44.878907967843155,-69.44739622110066
SEBASTICOOK R,Pittsfield,44.75462279409646,-69.37410883260512
WESSERUNSETT STREAM,Athens,44.92065171803633,-69.67333644521365
KENNEBEC R,Fairfield,44.639852288545185,-69.59238308215723
KENNEBEC R,Skowhegan,44.75047712620494,-69.74891269730756
KENNEBEC R,Solon,44.955389562566985,-69.87293869473679
KENNEBEC R,Anson,44.84564604069985,-69.878279427509
GOOSE RIVER,Belfast,44.44325770997244,-68.99958806739858
GOOSE RIVER,Swanville,44.489837760739086,-69.00001045589212
SEBASTICOOK R,Burnham,44.65437418453325,-69.45985120969925
SANDY STREAM,Unity,44.62150539099635,-69.35060858462175
CLARK B (MAGURREWOCK S),Calais,45.12045903093993,-67.27158670760551
GRAND L (EAST),Danforth,45.66996764851457,-67.76561203426425
SCHOODIC L,Cherryfield,44.69889781401764,-67.8937550144585
CAPE NEDDICK R,York,43.1928776747739,-70.62272996966985
JOSIAS R,York,43.226682824567135,-70.62249347402832
OGUNQUIT R,Wells,43.26421270385303,-70.64612336217733
WORSTER B,Berwick,43.27652662838584,-70.83434842376559
GREAT WORKS R,North Berwick,43.24744517324884,-70.76723607912768
GREAT WORKS R,Sanford,43.428371938801774,-70.78030306991953
KEAY B,Berwick,43.317131744787645,-70.90326502664405
LITTLE R,Berwick,43.3171919488783,-70.87472329147802
MOUSAM R,Sanford,43.426169662755875,-70.67967592793332
NEOUTAQUET R,North Berwick,43.335114426759546,-70.77747390324089
MERRILAND R,Wells,43.349415525300564,-70.58378166179305
OSSIPEE R (LITTLE),Newfield,43.64716487372937,-70.85559304998931
SACO R,Buxton,43.61741361746786,-70.57572184498663
SACO R,Dayton,43.54992803179362,-70.54023761402428
CASCADE FALLS B,Saco,43.54389939924723,-70.40732107546476
GREEN B,Wells,43.27993113636784,-70.64992290513645
NONESUCH R,Saco,43.5534171749979,-70.39075235344052
SMELT B,York,43.183388909035074,-70.73245499360992
WEST B,Wells,43.32901870016431,-70.68987804975944
LITTLE R,Buxton,43.67019714053042,-70.53623384518002
ELL (L) P,Wells,43.34579426865363,-70.71533471050692
MOUSAM L,Shapleigh,43.53568238964788,-70.86321156027364
STEVENS B,Wells,43.29074628646605,-70.60052685945877
FISH RIVER,Fort Kent,47.25414504684666,-68.59571312902743
